blue_average_level,blue_total_gold,blue_totalDamageDoneToChampions,blue_totalDamageDone,blue_minionsKilled,blue_timeEnemySpentControlled,blue_jungleMinionsKilled,blue_currentGold,blue_first_blood,blue_champions_killed,red_average_level,red_total_gold,red_totalDamageDoneToChampions,red_totalDamageDone,red_minionsKilled,red_timeEnemySpentControlled,red_jungleMinionsKilled,red_currentGold,red_first_blood,red_champions_killed,blue_win
11.2,39882,55612,123124,107,810574,0,2667,1,32,11.6,39457,51575,114873,94,242770,0,3907,0,28,0
11.2,38016,55485,118283,103,459175,0,3491,1,26,10.6,34854,46479,101181,82,463526,0,2944,0,20,0
11.4,37813,53146,120978,110,477797,0,7113,0,26,10.6,35742,41846,108435,126,533124,0,1892,1,21,0
6.8,16418,15996,116309,203,197187,66,3918,0,6,6.8,21354,18708,156906,184,316942,75,3984,1,16,1
7.2,20480,20826,150130,225,264053,64,3640,1,15,6.4,16415,14275,112602,214,1138302,44,1625,0,6,0
7.2,21135,20676,152620,230,578660,50,3270,0,13,6.6,17924,16742,91428,169,300256,41,2434,1,12,0
7.0,19811,21743,155028,241,300773,40,3151,1,11,6.6,16407,14620,117835,222,324251,44,3531,0,6,0
6.8,16878,13351,112473,213,319142,41,1713,0,9,7.0,20216,20876,148422,228,443845,62,3476,1,12,1
7.2,18734,19593,123057,221,178981,39,3864,1,11,7.0,17685,14439,128085,213,450333,60,4215,0,8,0
7.0,16661,15965,140626,211,351036,72,3051,1,7,7.0,16471,12711,134257,228,393799,64,3242,0,4,0
6.4,14468,13259,100610,182,286431,43,1363,0,3,7.2,21329,16408,141653,199,375585,52,2509,1,13,1
7.0,17367,16230,130091,207,311269,52,3617,0,7,7.2,18033,14792,129201,234,288327,52,4173,1,8,1
7.0,15577,13542,142665,239,265641,63,3947,0,3,6.8,15493,11611,120382,213,360151,48,3748,1,4,1
6.8,15451,12418,130155,262,352850,44,3021,0,2,6.6,15521,6534,108326,213,575081,60,2491,1,4,0
6.8,15988,13059,130215,209,404642,52,4518,0,5,7.0,16919,15238,144985,233,390169,56,3329,1,7,1
6.8,16585,13201,126661,231,462100,48,1055,0,6,6.8,17059,11109,148551,202,297332,62,3534,1,7,0
6.8,16760,11278,127881,245,262448,48,2535,1,7,7.0,16289,11966,139916,219,428703,68,3224,0,4,0
7.0,16186,13503,134350,207,927789,60,2521,1,6,7.0,16430,19044,124411,222,674515,48,1635,0,6,1
6.8,15964,13007,133073,188,529795,46,2719,1,6,7.0,17370,14171,144679,231,446924,64,5700,0,8,0
7.0,18469,14518,146295,237,345219,67,4008,1,6,7.0,16525,12957,116302,238,415154,44,1830,0,6,0
6.6,16380,15986,121791,189,440788,46,3570,0,5,7.0,17228,16931,116303,190,307367,56,4083,1,8,1
7.0,14678,8069,133513,247,970016,70,4778,0,0,7.0,16102,6382,133290,257,255760,56,5292,1,4,1
7.0,18763,17040,131333,217,464603,55,2413,0,11,7.0,18456,14768,123050,240,407207,46,4356,1,9,0
6.6,15698,13761,126658,234,516408,49,2643,1,3,6.6,17118,11664,116998,186,290992,56,4563,0,9,0
6.8,14374,13218,118457,211,236235,53,3009,0,3,7.2,20331,21568,141053,200,437700,54,4271,1,14,1
6.4,15705,14628,129074,199,257833,61,2435,0,4,7.0,19184,16459,126146,222,1066834,48,3439,1,12,1
7.0,16861,11505,133078,212,549058,66,2746,0,7,7.2,19323,17154,143604,244,160934,52,3968,1,10,0
7.2,17249,17054,124560,183,1133457,56,4294,0,8,7.0,17814,16613,144602,231,324454,55,2954,1,5,0
